03.02.2025 22:22:35: Name=BetaBank, Money=2000, Percent=7
04.02.2025 9:08:42: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 9:09:02: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 9:51:59: Name=NewBank, Money=2000, Percent=10
04.02.2025 10:25:33: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:28:21: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:29:02: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:31:05: Name=PrivatBank, Money=0, Percent=0
04.02.2025 10:45:58: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:45:59: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:00: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:01: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:02: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:03: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:04: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:05: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:06: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:07: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:08: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:09: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:10: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
04.02.2025 10:46:16: Name=MONOBANK, Money=2000, Percent=7
